"character_code","fictional_work","character_name","gender","spectrum","spectrum_low","spectrum_high","mean_rating","num_ratings"
"A/4","Alien","Ash","male","BAP1","playful","serious",41.4,51
"A/4","Alien","Ash","male","BAP2","shy","bold",11.1,63
"A/4","Alien","Ash","male","BAP3","cheery","sorrowful",22.4,78
"A/4","Alien","Ash","male","BAP4","masculine","feminine",-16.9,71
"A/4","Alien","Ash","male","BAP5","charming","awkward",23.1,72
"A/4","Alien","Ash","male","BAP6","lewd","tasteful",3.8,60
"A/4","Alien","Ash","male","BAP7","intellectual","physical",-30.4,76
"A/4","Alien","Ash","male","BAP8","strict","lenient",-32.8,74
"A/4","Alien","Ash","male","BAP9","refined","rugged",-24.8,72
"A/4","Alien","Ash","male","BAP10","trusting","suspicious",28.9,70
"A/4","Alien","Ash","male","BAP11","innocent","worldly",20.1,63
"A/4","Alien","Ash","male","BAP12","artistic","scientific",43,67
"A/4","Alien","Ash","male","BAP13","stoic","expressive",-34.3,59
"A/4","Alien","Ash","male","BAP14","cunning","honorable",-27.9,70
"A/4","Alien","Ash","male","BAP15","orderly","chaotic",-28.2,60
"A/4","Alien","Ash","male","BAP16","normal","weird",20.3,86
"A/4","Alien","Ash","male","BAP17","competitive","cooperative",-5.7,81
"A/4","Alien","Ash","male","BAP18","tense","relaxed",-26.8,73
"A/4","Alien","Ash","male","BAP19","brave","careful",25.7,78
"A/4","Alien","Ash","male","BAP20","spiritual","skeptical",34.5,66
"A/4","Alien","Ash","male","BAP21","unlucky","fortunate",-10.6,74
"A/4","Alien","Ash","male","BAP22","ferocious","pacifist",-13.4,64
"A/4","Alien","Ash","male","BAP23","modest","flamboyant",-22.3,67
"A/4","Alien","Ash","male","BAP24","dominant","submissive",-4.7,65
"A/4","Alien","Ash","male","BAP25","forgiving","vengeful",20.7,67
"A/4","Alien","Ash","male","BAP26","wise","foolish",-11.8,62
"A/4","Alien","Ash","male","BAP27","impulsive","cautious",16,56
"A/4","Alien","Ash","male","BAP28","loyal","traitorous",29.7,58
"A/4","Alien","Ash","male","BAP29","creative","conventional",28.9,76
"A/4","Alien","Ash","male","BAP30","curious","apathetic",7.7,81
"A/4","Alien","Ash","male","BAP31","rude","respectful",-2.1,73
"A/4","Alien","Ash","male","BAP32","diligent","lazy",-35.7,61
"A/4","Alien","Ash","male","BAP33","lustful","chaste",22.6,68
"A/4","Alien","Ash","male","BAP34","chatty","reserved",25.6,60
"A/4","Alien","Ash","male","BAP35","emotional","logical",40,75
"A/4","Alien","Ash","male","BAP36","moody","stable",6.1,78
"A/4","Alien","Ash","male","BAP37","dunce","genius",27.3,65
"A/4","Alien","Ash","male","BAP38","arrogant","humble",-28.4,63
"A/4","Alien","Ash","male","BAP39","heroic","villainous",27.3,64
"A/4","Alien","Ash","male","BAP40","attractive","repulsive",19.3,75
"A/4","Alien","Ash","male","BAP41","rational","whimsical",-30.7,93
"A/4","Alien","Ash","male","BAP42","mischievous","well behaved",-2.2,64
"A/4","Alien","Ash","male","BAP43","aloof","obsessed",14.3,59
"A/4","Alien","Ash","male","BAP44","indulgent","sober",28.6,86
"A/4","Alien","Ash","male","BAP45","kinky","vanilla",20.8,65
"A/4","Alien","Ash","male","BAP46","straightforward","cryptic",19.2,63
"A/4","Alien","Ash","male","BAP47","spontaneous","deliberate",39.2,81
